CU,CHILD CU,STOCK CODE,QTY,,,,,,,,,,,,,,
11DCS7,SET300-2,,3.00,,,,,,,,,,,,,,
11DCS7,SET300-3,,6.00,,,,,,,,,,,,,,
11DCS7,,000000251,6.00,,,,,,,,,,,,,,
11DCS7/F,11DCS7,,1.00,,,,,,,,,,,,,,
11DCS7/F,SET161-4,,24.00,,,,,,,,,,,,,,
11DCS7/N,11DCS7,,1.00,,,,,,,,,,,,,,
11DCS7/N,SET161-2,,12.00,,,,,,,,,,,,,,
11DCS7/S,11DCS7,,1.00,,,,,,,,,,,,,,
11DCS7/S,SET161-5,,12.00,,,,,,,,,,,,,,
11DCS7/SMAS,11DCS7/S,,1.00,,,,,,,,,,,,,,
11DCS7/SMAS,,000006012,12.00,,,,,,,,,,,,,,
11DCS7/SMAS,,000009924,12.00,,,,,,,,,,,,,,
11DCS7/SMOS,11DCS7/S,,1.00,,,,,,,,,,,,,,
11DCS7/SMOS,,000006013,12.00,,,,,,,,,,,,,,
11DCS7/SMOS,,000009924,12.00,,,,,,,,,,,,,,
11DCS7/SPLS,11DCS7/S,,1.00,,,,,,,,,,,,,,
11DCS7/SPLS,,000006014,12.00,,,,,,,,,,,,,,
11DCS7/SPLS,,000009924,12.00,,,,,,,,,,,,,,
11DCS9,SET166-3,,12.00,,,,,,,,,,,,,,
11DCS9,SET300-2,,3.00,,,,,,,,,,,,,,
11DCS9,SET300-3,,3.00,,,,,,,,,,,,,,
11DCS9,,000000251,6.00,,,,,,,,,,,,,,
11DCS9/F,11DCS9,,1.00,,,,,,,,,,,,,,
11DCS9/F,SET161-4,,24.00,,,,,,,,,,,,,,
11DCS9/N,11DCS9,,1.00,,,,,,,,,,,,,,
11DCS9/N,SET161-2,,12.00,,,,,,,,,,,,,,
11DCS9/S,11DCS9,,1.00,,,,,,,,,,,,,,
11DCS9/S,SET161-5,,12.00,,,,,,,,,,,,,,
11DCS9/SMAS,11DCS9,,1.00,,,,,,,,,,,,,,
11DCS9/SMAS,SET161-5,,12.00,,,,,,,,,,,,,,
11DCS9/SMAS,,000006012,12.00,,,,,,,,,,,,,,
11DCS9/SMAS,,000009924,12.00,,,,,,,,,,,,,,
